email,label
Agradeço pelo ótimo serviço prestado.,Improdutivo
Preciso de ajuda para acessar o sistema.,Produtivo
"Estou com dificuldade para instalar o aplicativo, poderiam me orientar?",Produtivo
Agradeço pela paciência e suporte fornecidos.,Improdutivo
"Parabéns pelo trabalho de todos, está cada vez melhor!",Improdutivo
"Parabéns pelo trabalho de todos, está cada vez melhor!",Improdutivo
Agradeço pela paciência e suporte fornecidos.,Improdutivo
Desejo um excelente fim de semana a toda a equipe!,Improdutivo
Gostaria de abrir um chamado de suporte para consertar erro no login.,Produtivo
Não consigo resetar minha senha. Solicito suporte urgente.,Produtivo
Gostaria de abrir um chamado de suporte para instalar o aplicativo.,Produtivo
Desejo um excelente fim de semana a toda a equipe!,Improdutivo
Poderiam me auxiliar a recuperar minha conta?,Produtivo
Não consigo instalar o aplicativo. Solicito suporte urgente.,Produtivo
Gostaria de abrir um chamado de suporte para consertar erro no login.,Produtivo
Preciso de ajuda para instalar o aplicativo.,Produtivo
Não consigo instalar o aplicativo. Solicito suporte urgente.,Produtivo
Agradeço pelo ótimo serviço prestado.,Improdutivo
Obrigado por todo o apoio até agora!,Improdutivo
"Parabéns pelo trabalho de todos, está cada vez melhor!",Improdutivo
"Estou enfrentando dificuldades para gerar relatórios, alguém pode me ajudar?",Produtivo
Feliz aniversário e parabéns pelo excelente trabalho!,Improdutivo
Não consigo resetar minha senha. Solicito suporte urgente.,Produtivo
Muito obrigado pela atenção.,Improdutivo
Gostaria de abrir um chamado de suporte para emitir relatório.,Produtivo
Não consigo configurar a impressora. Solicito suporte urgente.,Produtivo
Muito obrigado pela atenção.,Improdutivo
Agradeço pela paciência e suporte fornecidos.,Improdutivo
Gostaria de abrir um chamado de suporte para instalar o aplicativo.,Produtivo
Poderiam me auxiliar a atualizar meus dados?,Produtivo
Obrigado por todo o apoio até agora!,Improdutivo
"Estou com dificuldade para atualizar meus dados, poderiam me orientar?",Produtivo
Desejo um excelente fim de semana a toda a equipe!,Improdutivo
"Estou com dificuldade para atualizar meus dados, poderiam me orientar?",Produtivo
Agradeço pela paciência e suporte fornecidos.,Improdutivo
"Estou com dificuldade para emitir relatório, poderiam me orientar?",Produtivo
Agradeço pela paciência e suporte fornecidos.,Improdutivo
Meu sistema apresentou um problema ao consertar erro no login. Preciso de assistência.,Produtivo
Muito obrigado pela atenção.,Improdutivo
"Estou com dificuldade para resetar minha senha, poderiam me orientar?",Produtivo
Não consigo gerar relatórios. Solicito suporte urgente.,Produtivo
"Estou enfrentando dificuldades para acessar o sistema, alguém pode me ajudar?",Produtivo
Poderiam me auxiliar a instalar o aplicativo?,Produtivo
"Estou enfrentando dificuldades para acessar o sistema, alguém pode me ajudar?",Produtivo
Preciso de ajuda para atualizar meus dados.,Produtivo
"Estou enfrentando dificuldades para resetar minha senha, alguém pode me ajudar?",Produtivo
Obrigado por todo o apoio até agora!,Improdutivo
Poderiam me auxiliar a gerar relatórios?,Produtivo
Meu sistema apresentou um problema ao acessar o sistema. Preciso de assistência.,Produtivo
Desejo um excelente fim de semana a toda a equipe!,Improdutivo
Agradeço pela paciência e suporte fornecidos.,Improdutivo
"Parabéns pelo trabalho de todos, está cada vez melhor!",Improdutivo
"Estou enfrentando dificuldades para recuperar minha conta, alguém pode me ajudar?",Produtivo
Agradeço pela paciência e suporte fornecidos.,Improdutivo
Muito obrigado pela atenção.,Improdutivo
Meu sistema apresentou um problema ao consertar erro no login. Preciso de assistência.,Produtivo
Preciso de ajuda para resetar minha senha.,Produtivo
"Parabéns pelo trabalho de todos, está cada vez melhor!",Improdutivo
Poderiam me auxiliar a atualizar meus dados?,Produtivo
Muito obrigado pela atenção.,Improdutivo
Agradeço pelo ótimo serviço prestado.,Improdutivo
"Estou enfrentando dificuldades para resetar minha senha, alguém pode me ajudar?",Produtivo
Não consigo acessar o sistema. Solicito suporte urgente.,Produtivo
Não consigo gerar relatórios. Solicito suporte urgente.,Produtivo
Agradeço pela paciência e suporte fornecidos.,Improdutivo
"Parabéns pelo trabalho de todos, está cada vez melhor!",Improdutivo
Poderiam me auxiliar a acessar o sistema?,Produtivo
Desejo um excelente fim de semana a toda a equipe!,Improdutivo
"Estou enfrentando dificuldades para consertar erro no login, alguém pode me ajudar?",Produtivo
"Estou com dificuldade para emitir relatório, poderiam me orientar?",Produtivo
Gostaria de abrir um chamado de suporte para acessar o sistema.,Produtivo
Meu sistema apresentou um problema ao instalar o aplicativo. Preciso de assistência.,Produtivo
Gostaria de abrir um chamado de suporte para emitir relatório.,Produtivo
Não consigo acessar o sistema. Solicito suporte urgente.,Produtivo
Agradeço pela paciência e suporte fornecidos.,Improdutivo
Poderiam me auxiliar a gerar relatórios?,Produtivo
Muito obrigado pela atenção.,Improdutivo
Desejo um excelente fim de semana a toda a equipe!,Improdutivo
Meu sistema apresentou um problema ao atualizar meus dados. Preciso de assistência.,Produtivo
Gostaria de abrir um chamado de suporte para resetar minha senha.,Produtivo
Obrigado por todo o apoio até agora!,Improdutivo
Agradeço pelo ótimo serviço prestado.,Improdutivo
"Estou com dificuldade para gerar relatórios, poderiam me orientar?",Produtivo
Gostaria de abrir um chamado de suporte para resetar minha senha.,Produtivo
Desejo um excelente fim de semana a toda a equipe!,Improdutivo
Agradeço pelo ótimo serviço prestado.,Improdutivo
Preciso de ajuda para instalar o aplicativo.,Produtivo
Preciso de ajuda para atualizar meus dados.,Produtivo
Obrigado por todo o apoio até agora!,Improdutivo
Desejo um excelente fim de semana a toda a equipe!,Improdutivo
Poderiam me auxiliar a resetar minha senha?,Produtivo
Gostaria de abrir um chamado de suporte para gerar relatórios.,Produtivo
Agradeço pela paciência e suporte fornecidos.,Improdutivo
Feliz aniversário e parabéns pelo excelente trabalho!,Improdutivo
Não consigo gerar relatórios. Solicito suporte urgente.,Produtivo
Obrigado por todo o apoio até agora!,Improdutivo
Desejo um excelente fim de semana a toda a equipe!,Improdutivo
Não consigo configurar a impressora. Solicito suporte urgente.,Produtivo
"Parabéns pelo trabalho de todos, está cada vez melhor!",Improdutivo
Desejo um excelente fim de semana a toda a equipe!,Improdutivo
Poderiam me auxiliar a resetar minha senha?,Produtivo
Desejo um excelente fim de semana a toda a equipe!,Improdutivo
Agradeço pelo ótimo serviço prestado.,Improdutivo
Muito obrigado pela atenção.,Improdutivo
Agradeço pelo ótimo serviço prestado.,Improdutivo
Obrigado por todo o apoio até agora!,Improdutivo
Obrigado por todo o apoio até agora!,Improdutivo
Preciso de ajuda para emitir relatório.,Produtivo
Desejo um excelente fim de semana a toda a equipe!,Improdutivo
Obrigado por todo o apoio até agora!,Improdutivo
"Estou com dificuldade para instalar o aplicativo, poderiam me orientar?",Produtivo
Meu sistema apresentou um problema ao gerar relatórios. Preciso de assistência.,Produtivo
"Parabéns pelo trabalho de todos, está cada vez melhor!",Improdutivo
Poderiam me auxiliar a resetar minha senha?,Produtivo
Não consigo acessar o sistema. Solicito suporte urgente.,Produtivo
Agradeço pelo ótimo serviço prestado.,Improdutivo
Muito obrigado pela atenção.,Improdutivo
Gostaria de abrir um chamado de suporte para instalar o aplicativo.,Produtivo
Feliz aniversário e parabéns pelo excelente trabalho!,Improdutivo
Preciso de ajuda para atualizar meus dados.,Produtivo
Agradeço pela paciência e suporte fornecidos.,Improdutivo
Muito obrigado pela atenção.,Improdutivo
Obrigado por todo o apoio até agora!,Improdutivo
Poderiam me auxiliar a resetar minha senha?,Produtivo
Feliz aniversário e parabéns pelo excelente trabalho!,Improdutivo
Feliz aniversário e parabéns pelo excelente trabalho!,Improdutivo
Gostaria de abrir um chamado de suporte para resetar minha senha.,Produtivo
Preciso de ajuda para resetar minha senha.,Produtivo
Desejo um excelente fim de semana a toda a equipe!,Improdutivo
Poderiam me auxiliar a resetar minha senha?,Produtivo
Feliz aniversário e parabéns pelo excelente trabalho!,Improdutivo
Agradeço pela paciência e suporte fornecidos.,Improdutivo
"Parabéns pelo trabalho de todos, está cada vez melhor!",Improdutivo
"Parabéns pelo trabalho de todos, está cada vez melhor!",Improdutivo
"Estou enfrentando dificuldades para instalar o aplicativo, alguém pode me ajudar?",Produtivo
Poderiam me auxiliar a emitir relatório?,Produtivo
"Estou com dificuldade para gerar relatórios, poderiam me orientar?",Produtivo
Muito obrigado pela atenção.,Improdutivo
Meu sistema apresentou um problema ao acessar o sistema. Preciso de assistência.,Produtivo
Meu sistema apresentou um problema ao instalar o aplicativo. Preciso de assistência.,Produtivo
Não consigo consertar erro no login. Solicito suporte urgente.,Produtivo
"Estou enfrentando dificuldades para consertar erro no login, alguém pode me ajudar?",Produtivo
Gostaria de abrir um chamado de suporte para instalar o aplicativo.,Produtivo
Muito obrigado pela atenção.,Improdutivo
Meu sistema apresentou um problema ao gerar relatórios. Preciso de assistência.,Produtivo
"Estou com dificuldade para atualizar meus dados, poderiam me orientar?",Produtivo
Feliz aniversário e parabéns pelo excelente trabalho!,Improdutivo
Agradeço pelo ótimo serviço prestado.,Improdutivo
Obrigado por todo o apoio até agora!,Improdutivo
Meu sistema apresentou um problema ao consertar erro no login. Preciso de assistência.,Produtivo
Meu sistema apresentou um problema ao emitir relatório. Preciso de assistência.,Produtivo
Desejo um excelente fim de semana a toda a equipe!,Improdutivo
"Estou enfrentando dificuldades para gerar relatórios, alguém pode me ajudar?",Produtivo
"Estou enfrentando dificuldades para consertar erro no login, alguém pode me ajudar?",Produtivo
Agradeço pela paciência e suporte fornecidos.,Improdutivo
Feliz aniversário e parabéns pelo excelente trabalho!,Improdutivo
Desejo um excelente fim de semana a toda a equipe!,Improdutivo
Agradeço pela paciência e suporte fornecidos.,Improdutivo
Obrigado por todo o apoio até agora!,Improdutivo
Meu sistema apresentou um problema ao emitir relatório. Preciso de assistência.,Produtivo
"Estou enfrentando dificuldades para resetar minha senha, alguém pode me ajudar?",Produtivo
Muito obrigado pela atenção.,Improdutivo
Feliz aniversário e parabéns pelo excelente trabalho!,Improdutivo
Poderiam me auxiliar a consertar erro no login?,Produtivo
Obrigado por todo o apoio até agora!,Improdutivo
Poderiam me auxiliar a instalar o aplicativo?,Produtivo
Feliz aniversário e parabéns pelo excelente trabalho!,Improdutivo
Obrigado por todo o apoio até agora!,Improdutivo
Agradeço pelo ótimo serviço prestado.,Improdutivo
Não consigo configurar a impressora. Solicito suporte urgente.,Produtivo
"Estou com dificuldade para configurar a impressora, poderiam me orientar?",Produtivo
"Estou enfrentando dificuldades para acessar o sistema, alguém pode me ajudar?",Produtivo
"Parabéns pelo trabalho de todos, está cada vez melhor!",Improdutivo
Muito obrigado pela atenção.,Improdutivo
Obrigado por todo o apoio até agora!,Improdutivo
Agradeço pela paciência e suporte fornecidos.,Improdutivo
Agradeço pela paciência e suporte fornecidos.,Improdutivo
"Estou com dificuldade para emitir relatório, poderiam me orientar?",Produtivo
"Estou enfrentando dificuldades para resetar minha senha, alguém pode me ajudar?",Produtivo
Gostaria de abrir um chamado de suporte para resetar minha senha.,Produtivo
Feliz aniversário e parabéns pelo excelente trabalho!,Improdutivo
Preciso de ajuda para gerar relatórios.,Produtivo
Obrigado por todo o apoio até agora!,Improdutivo
Gostaria de abrir um chamado de suporte para gerar relatórios.,Produtivo
"Parabéns pelo trabalho de todos, está cada vez melhor!",Improdutivo
Muito obrigado pela atenção.,Improdutivo
Gostaria de abrir um chamado de suporte para emitir relatório.,Produtivo
Poderiam me auxiliar a consertar erro no login?,Produtivo
Agradeço pela paciência e suporte fornecidos.,Improdutivo
Não consigo acessar o sistema. Solicito suporte urgente.,Produtivo
Agradeço pela paciência e suporte fornecidos.,Improdutivo
"Estou enfrentando dificuldades para consertar erro no login, alguém pode me ajudar?",Produtivo
Poderiam me auxiliar a emitir relatório?,Produtivo
Agradeço pelo ótimo serviço prestado.,Improdutivo
Feliz aniversário e parabéns pelo excelente trabalho!,Improdutivo
"Estou enfrentando dificuldades para acessar o sistema, alguém pode me ajudar?",Produtivo
Meu sistema apresentou um problema ao acessar o sistema. Preciso de assistência.,Produtivo
Não consigo resetar minha senha. Solicito suporte urgente.,Produtivo
Desejo um excelente fim de semana a toda a equipe!,Improdutivo
Poderiam me auxiliar a instalar o aplicativo?,Produtivo
Obrigado por todo o apoio até agora!,Improdutivo
Agradeço pelo ótimo serviço prestado.,Improdutivo
Obrigado por todo o apoio até agora!,Improdutivo
Desejo um excelente fim de semana a toda a equipe!,Improdutivo
"Parabéns pelo trabalho de todos, está cada vez melhor!",Improdutivo
"Estou com dificuldade para emitir relatório, poderiam me orientar?",Produtivo
Não consigo atualizar meus dados. Solicito suporte urgente.,Produtivo
"Estou enfrentando dificuldades para acessar o sistema, alguém pode me ajudar?",Produtivo
"Parabéns pelo trabalho de todos, está cada vez melhor!",Improdutivo
Poderiam me auxiliar a configurar a impressora?,Produtivo
Meu sistema apresentou um problema ao atualizar meus dados. Preciso de assistência.,Produtivo
Obrigado por todo o apoio até agora!,Improdutivo
"Parabéns pelo trabalho de todos, está cada vez melhor!",Improdutivo
Não consigo resetar minha senha. Solicito suporte urgente.,Produtivo
"Estou com dificuldade para instalar o aplicativo, poderiam me orientar?",Produtivo
Meu sistema apresentou um problema ao recuperar minha conta. Preciso de assistência.,Produtivo
Preciso de ajuda para resetar minha senha.,Produtivo
Desejo um excelente fim de semana a toda a equipe!,Improdutivo
Muito obrigado pela atenção.,Improdutivo
Meu sistema apresentou um problema ao resetar minha senha. Preciso de assistência.,Produtivo
"Estou com dificuldade para configurar a impressora, poderiam me orientar?",Produtivo
Agradeço pela paciência e suporte fornecidos.,Improdutivo
Gostaria de abrir um chamado de suporte para consertar erro no login.,Produtivo
Agradeço pelo ótimo serviço prestado.,Improdutivo
"Parabéns pelo trabalho de todos, está cada vez melhor!",Improdutivo
Muito obrigado pela atenção.,Improdutivo
Agradeço pela paciência e suporte fornecidos.,Improdutivo
"Estou enfrentando dificuldades para gerar relatórios, alguém pode me ajudar?",Produtivo
Preciso de ajuda para atualizar meus dados.,Produtivo
Feliz aniversário e parabéns pelo excelente trabalho!,Improdutivo
Agradeço pela paciência e suporte fornecidos.,Improdutivo
"Estou com dificuldade para consertar erro no login, poderiam me orientar?",Produtivo
Desejo um excelente fim de semana a toda a equipe!,Improdutivo
"Estou enfrentando dificuldades para resetar minha senha, alguém pode me ajudar?",Produtivo
Gostaria de abrir um chamado de suporte para configurar a impressora.,Produtivo
Obrigado por todo o apoio até agora!,Improdutivo
Preciso de ajuda para consertar erro no login.,Produtivo
Preciso de ajuda para resetar minha senha.,Produtivo
"Estou com dificuldade para recuperar minha conta, poderiam me orientar?",Produtivo
Agradeço pelo ótimo serviço prestado.,Improdutivo
Preciso de ajuda para consertar erro no login.,Produtivo
